source,clean_title,recipe_count
Anthony Bourdain - Appetites_ A Cookbook.epub,Anthony Bourdain - Appetites_ A Cookbook,107
BILL GRANGER AUSTRALIAN FOOD.epub,BILL GRANGER AUSTRALIAN FOOD,118
Claudia Roden - The Food of Spain.epub,Claudia Roden - The Food of Spain,210
Community_ Salad Recipes from Arthur Street Kitchen.epub,Community_ Salad Recipes from Arthur Street Kitchen,80
Cool Beans .epub,Cool Beans ,126
"Del Conte, Anna - Gastronomy of Italy.epub","Del Conte, Anna - Gastronomy of Italy",14
"Delias Cakes{Smith, Delia}(2014, Hodder &amp_ Stoughton){112392336} libgen.li.epub","Delias Cakes{Smith, Delia}(2014, Hodder &amp_ Stoughton){112392336} libgen.li",89
Every grain of rice _ simple Chinese home cooking -- Fuchsia Dunlop.epub,Every grain of rice _ simple Chinese home cooking -- Fuchsia Dunlop,147
"French Provincial Cooking{David, Elizabeth [1913-1992.]}(1999, Penguin Publishing Group){116270129} libgen.li.epub","French Provincial Cooking{David, Elizabeth [1913-1992.]}(1999, Penguin Publishing Group){116270129} libgen.li",451
"Gordon Ramsay's Ultimate Cookery Course -- Ramsay, Gordon -- London, 2012 -- Hachette Littlehampton -- isbn13 9781444756708 -- 6a2e43ff8cdbf194072e3769c5c5b1df -- Anna’s Archive.epub","Gordon Ramsay's Ultimate Cookery Course -- Ramsay, Gordon -- London, 2012 -- Hachette Littlehampton -- isbn13 9781444756708 -- 6a2e43ff8cdbf194072e3769c5c5b1df -- Anna’s Archive",126
Green Burgers_ Creative Vegetarian Recipes for Burgers and Sides.epub,Green Burgers_ Creative Vegetarian Recipes for Burgers and Sides,68
"Grigson, Jane - Good Things (2008, Grub Street Cookery) - libgen.li.epub","Grigson, Jane - Good Things (2008, Grub Street Cookery) - libgen.li",29
Half Baked Harvest Super Simple.epub,Half Baked Harvest Super Simple,128
"Jamie Oliver - Everyday Super Food (2015, Ecco) - libgen.li.epub","Jamie Oliver - Everyday Super Food (2015, Ecco) - libgen.li",117
Jamie Oliver - Veg.epub,Jamie Oliver - Veg,105
"Jamie's 30-Minute Meals -- Oliver, Jamie -- Harmondsworth, 2017 -- Penguin Books, Limited -- isbn13 9780718159320 -- 9d7a7786b791e922b403f75a64028508 -- Anna’s Archive.epub","Jamie's 30-Minute Meals -- Oliver, Jamie -- Harmondsworth, 2017 -- Penguin Books, Limited -- isbn13 9780718159320 -- 9d7a7786b791e922b403f75a64028508 -- Anna’s Archive",50
Jo Pratt - The Flexible Pescatarian.epub,Jo Pratt - The Flexible Pescatarian,74
"Mallmann, Francis_ Kaminsky, Peter - Seven Fires_ Grilling the Argentine Way (2009, Artisan) - libgen.li.epub","Mallmann, Francis_ Kaminsky, Peter - Seven Fires_ Grilling the Argentine Way (2009, Artisan) - libgen.li",105
"Medrich, Alice - Cocolat_ extraordinary chocolate desserts (2017, Dover Publications) - libgen.li.epub","Medrich, Alice - Cocolat_ extraordinary chocolate desserts (2017, Dover Publications) - libgen.li",50
Molto gusto _ easy Italian cooking at home -- Mario Batali & Mark Ladner.epub,Molto gusto _ easy Italian cooking at home -- Mario Batali & Mark Ladner,101
"More Fish, More Veg _ Simple, sustainable recipes.epub","More Fish, More Veg _ Simple, sustainable recipes",30
My Mediterranean Life _ Recipes and stories.epub,My Mediterranean Life _ Recipes and stories,201
"Nigel Slater - The Kitchen Diaries (2006, Fourth Estate Ltd) - libgen.li.epub","Nigel Slater - The Kitchen Diaries (2006, Fourth Estate Ltd) - libgen.li",168
"Nigella Lawson - How To Eat_ The Pleasures and Principles of Good Food (2014, Vintage Digital) - libgen.li.epub","Nigella Lawson - How To Eat_ The Pleasures and Principles of Good Food (2014, Vintage Digital) - libgen.li",244
Nigella Lawson - How to be a domestic goddess.epub,Nigella Lawson - How to be a domestic goddess,193
Nopalito_ a Mexican kitchen.epub,Nopalito_ a Mexican kitchen,121
Old World Italian_Recipes and Secrets from our Travels in Italy.epub.epub,Old World Italian_Recipes and Secrets from our Travels in Italy.epub,71
"One _ simple one-pan wonders -- Jamie Oliver -- London, 2022 -- Penguin Books, Limited -- isbn13 9781405944755 -- a4a8e30cad6c5468529657e27dd495fe -- Anna’s Archive.epub","One _ simple one-pan wonders -- Jamie Oliver -- London, 2022 -- Penguin Books, Limited -- isbn13 9781405944755 -- a4a8e30cad6c5468529657e27dd495fe -- Anna’s Archive",128
"Ottolenghi Simple_ A Cookbook -- Yotam Ottolenghi, Jonathan Levokin, Tara Wigley -- Place of publication not identified, 2018 -- Potter;Ten -- isbn13 9780449017043 -- 58b8e414acb29c91cc187036e62c6294 -- Anna’s Arc.epub","Ottolenghi Simple_ A Cookbook -- Yotam Ottolenghi, Jonathan Levokin, Tara Wigley -- Place of publication not identified, 2018 -- Potter;Ten -- isbn13 9780449017043 -- 58b8e414acb29c91cc187036e62c6294 -- Anna’s Arc",40
Ottolenghi-jerusalem.epub,Ottolenghi-jerusalem,125
"Pasta Grannies_ The Official Cookbook_ The Secrets of -- Bennison, Vicky.epub","Pasta Grannies_ The Official Cookbook_ The Secrets of -- Bennison, Vicky",53
Simply Japanese _ 100 authentic recipes for easy home -- Maori Murota.epub,Simply Japanese _ 100 authentic recipes for easy home -- Maori Murota,129
"Super Food Family Classics -- Oliver, Jamie -- London, 2016 -- Penguin Books Ltd;Michael Joseph -- isbn13 9780718186357 -- 3e57dcf8e89905f801b35657828ee159 -- Anna’s Archive.epub","Super Food Family Classics -- Oliver, Jamie -- London, 2016 -- Penguin Books Ltd;Michael Joseph -- isbn13 9780718186357 -- 3e57dcf8e89905f801b35657828ee159 -- Anna’s Archive",83
Sweet -- Yotam Ottolenghi -- 2017 -- Potter_TenSpeed_Harmony -- 80650520b4556ef94f2f5e86f1adcfab -- Anna’s Archive.epub,Sweet -- Yotam Ottolenghi -- 2017 -- Potter_TenSpeed_Harmony -- 80650520b4556ef94f2f5e86f1adcfab -- Anna’s Archive,50
The Artful Way to Plant-Based Cooking_ Nourishing Recipes and Heartfelt Moments.epub,The Artful Way to Plant-Based Cooking_ Nourishing Recipes and Heartfelt Moments,81
"The Classic Food of Northern Italy -- Anna Del Conte -- LaVergne, 2018 -- Pavilion Books -- isbn13 9781911595083 -- f0a112c42af16f00afe5c58ec606cd7d -- Anna’s Archive.epub","The Classic Food of Northern Italy -- Anna Del Conte -- LaVergne, 2018 -- Pavilion Books -- isbn13 9781911595083 -- f0a112c42af16f00afe5c58ec606cd7d -- Anna’s Archive",87
The Complete Plant-Based Cookbook.epub,The Complete Plant-Based Cookbook,410
"The Food I Love_ A New Edition -- Perry, Neil; -- Allen & Unwin, [N_p_], 2023 -- Murdoch Books Pty Limited -- isbn13 9781761187605 -- 68000b6ee117d870eb7c16658ab128ae -- Anna’s Archive.epub","The Food I Love_ A New Edition -- Perry, Neil; -- Allen & Unwin, [N_p_], 2023 -- Murdoch Books Pty Limited -- isbn13 9781761187605 -- 68000b6ee117d870eb7c16658ab128ae -- Anna’s Archive",44
The Mediterranean Dish_ 120 Bold and Healthy Recipes.epub,The Mediterranean Dish_ 120 Bold and Healthy Recipes,125
The Secret to Delicious Vegan Cooking from the Mediterranean and Beyond.epub,The Secret to Delicious Vegan Cooking from the Mediterranean and Beyond,117
The Truly Healthy Pescatarian Cookbook.mobi,The Truly Healthy Pescatarian Cookbook,8
"The Whole Fish Cookbook _ New Ways to Cook, Eat and Think.epub","The Whole Fish Cookbook _ New Ways to Cook, Eat and Think",61
Vegan Richa's Everyday Kitchen.epub,Vegan Richa's Everyday Kitchen,53
"Veganomicon, 10th Anniversary Edition_ The Ultimate Vegan -- Isa Chandra Moskowitz, Terry Hope Romero, Isabel Ginés -- 10th anniversary edition_ First -- isbn13 9780738218991 -- aea69ae763624a8b6a934adb37322045 --.epub","Veganomicon, 10th Anniversary Edition_ The Ultimate Vegan -- Isa Chandra Moskowitz, Terry Hope Romero, Isabel Ginés -- 10th anniversary edition_ First -- isbn13 9780738218991 -- aea69ae763624a8b6a934adb37322045 --",262
